"vuosi","syrtun","oty","toimiala","SLHKY","sllvy"
1,"0000746",1,"M","1","3"
1,"0000748",1,"F","9","9"
1,"0000751",1,"P","4","1"
1,"0000757",1,"P","4","1"
1,"0000758",1,"H","3","1"
1,"0000760",1,"G","1","4"
1,"0000763",1,"G","3","6"
1,"0000766",1,"H","2","3"
1,"0000768",1,"G","1","4"
1,"0000769",1,"H","4","5"
1,"0000770",1,"K","3","1"
1,"0000771",1,"M","8","7"
1,"0000773",1,"G","2","6"
1,"0000783",1,"L","4","5"
1,"0000791",1,"H","6","6"
1,"0000794",5,"G","2","5"
1,"0000799",1,"D","5","6"
1,"0000806",3,"N","7","1"
1,"0000812",1,"L","3","4"
1,"0000815",1,"F","4","5"
1,"0000817",1,"G","7","9"
1,"0000819",1,"G","3","6"
1,"0000820",3,"N","8","1"
1,"0000821",1,"D","7","7"
1,"0000824",1,"P","1","1"
1,"0000826",1,"I","4","5"
1,"0000828",1,"F","1","3"
1,"0000830",1,"D","6","7"
1,"0000834",2,"D","5","7"
1,"0000837",1,"S","5","1"
1,"0000838",1,"R","2","5"
1,"0000839",1,"G","2","5"
1,"0000841",1,"X","1","3"
1,"0000845",1,"F","9","8"
1,"0000849",1,"F","1","4"
1,"0000850",1,"F","4","6"
1,"0000853",1,"M","1","1"
1,"0000854",1,"G","1","4"
1,"0000864",1,"G","6","7"
1,"0000866",1,"D","7","8"
1,"0000867",1,"M","1","3"
1,"0000871",1,"G","7","8"
1,"0000873",1,"P","3","1"
1,"0000875",1,"D","8","8"
1,"0000878",1,"P","4","1"
1,"0000883",1,"F","5","6"
1,"0000885",1,"D","7","7"
1,"0000888",1,"D","3","4"
1,"0000890",1,"D","4","6"
1,"0000893",1,"F","1","3"
1,"0000894",1,"D","1","4"
1,"0000900",3,"N","8","1"
1,"0000904",1,"G","8","8"
1,"0000905",1,"S","8","1"
1,"0000907",1,"S","6","1"
1,"0000908",5,"G","2","5"
1,"0000909",1,"G","2","5"
1,"0000911",1,"F","1","3"
1,"0000914",3,"N","7","1"
1,"0000915",1,"I","1","3"
1,"0000922",1,"G","5","7"
1,"0000923",5,"G","4","7"
1,"0000924",1,"D","9","9"
1,"0000925",1,"F","1","4"
1,"0000928",1,"I","1","4"
1,"0000935",1,"F","4","5"
1,"0000936",1,"M","6","7"
1,"0000938",1,"D","8","8"
1,"0000939",1,"M","3","5"
1,"0000941",2,"D","5","6"
1,"0000942",1,"H","4","6"
1,"0000943",2,"N","6","1"
1,"0000946",1,"G","1","5"
1,"0000947",1,"D","7","8"
1,"0000948",1,"F","1","3"
1,"0000950",1,"K","6","1"
1,"0000954",1,"D","8","8"
1,"0000956",1,"M","7","7"
1,"0000958",1,"P","6","1"
1,"0000960",1,"M","5","5"
1,"0000962",1,"M","1","5"
1,"0000966",1,"P","5","5"
1,"0000968",1,"M","4","5"
1,"0000969",5,"G","3","5"
1,"0000973",1,"X","1","4"
1,"0000976",1,"H","1","4"
1,"0000977",1,"K","4","1"
1,"0000987",1,"D","2","4"
1,"0000999",1,"H","4","5"
1,"0001003",3,"N","9","1"
1,"0001004",1,"G","7","8"
1,"0001006",1,"D","9","8"
1,"0001009",1,"S","7","1"
1,"0001010",1,"G","2","5"
1,"0001011",1,"L","6","7"
1,"0001013",5,"G","9","9"
1,"0001016",1,"S","4","1"
1,"0001022",1,"D","4","5"
1,"0001024",1,"L","4","5"
1,"0001027",1,"D","2","5"
1,"0001030",1,"D","7","8"
1,"0001032",1,"D","9","8"
1,"0001034",1,"H","5","6"
1,"0001035",1,"I","1","4"
1,"0001036",5,"G","3","6"
1,"0001038",1,"H","2","4"
1,"0001040",1,"D","6","6"
1,"0001041",1,"D","5","7"
1,"0001043",1,"F","4","6"
1,"0001044",3,"N","8","1"
1,"0001045",1,"G","5","7"
1,"0001046",3,"N","9","1"
1,"0001047",1,"L","5","5"
1,"0001050",1,"I","4","5"
1,"0001051",1,"L","1","4"
1,"0001052",1,"I","5","6"
1,"0001060",1,"I","3","5"
1,"0001061",1,"H","2","4"
1,"0001062",1,"R","2","5"
1,"0001064",1,"M","5","6"
1,"0001065",1,"A","1","3"
1,"0001067",1,"M","6","7"
1,"0001069",1,"K","5","1"
1,"0001073",1,"G","1","3"
1,"0001074",1,"D","6","6"
1,"0001075",3,"N","7","1"
1,"0001079",1,"D","1","3"
1,"0001082",1,"D","6","7"
1,"0001084",1,"D","5","6"
1,"0001085",1,"G","2","5"
1,"0001086",1,"G","7","9"
1,"0001087",1,"D","2","4"
1,"0001090",1,"I","7","7"
1,"0001093",1,"H","1","4"
1,"0001094",1,"G","5","7"
1,"0001095",1,"T","1","3"
1,"0001096",1,"F","6","6"
1,"0001097",1,"R","3","5"
1,"0001098",1,"M","4","5"
1,"0001099",1,"P","3","1"
1,"0001100",1,"P","5","6"
1,"0001102",3,"R","5","1"
1,"0001104",1,"F","2","4"
1,"0001106",1,"G","3","6"
1,"0001107",2,"D","9","8"
1,"0001110",1,"D","3","5"
1,"0001112",2,"G","5","7"
1,"0001115",1,"K","1","1"
1,"0001117",1,"G","3","6"
1,"0001118",1,"D","7","7"
1,"0001119",1,"F","2","4"
1,"0001122",1,"S","6","1"
1,"0001123",1,"M","2","4"
1,"0001126",1,"G","4","6"
1,"0001130",1,"L","9","8"
1,"0001132",1,"G","5","6"
1,"0001136",1,"D","4","5"
1,"0001138",1,"F","1","2"
1,"0001140",1,"D","5","6"
1,"0001141",1,"I","2","4"
1,"0001143",1,"G","3","6"
1,"0001146",1,"G","4","6"
1,"0001147",1,"G","8","8"
1,"0001148",1,"D","5","6"
1,"0001151",3,"N","6","1"
1,"0001152",1,"D","4","6"
1,"0001153",1,"P","2","1"
1,"0001157",1,"F","4","6"
1,"0001158",1,"D","3","5"
1,"0001159",1,"M","4","6"
1,"0001160",1,"D","1","4"
1,"0001161",1,"D","8","8"
1,"0001163",1,"M","1","3"
1,"0001165",1,"G","6","7"
1,"0001166",1,"D","4","5"
